# timestamp x y z qx qy qz qw
1770176350.569978 0.008627 -0.000404 0.001347 0.002876 -0.147983 -0.001588 0.988984
1770176350.655017 0.009879 0.000600 0.000988 0.001702 -0.149133 -0.001580 0.988814
1770176350.752845 0.011700 0.003218 0.003403 0.002096 -0.148931 -0.001526 0.988844
1770176350.869119 0.010491 -0.000073 0.002697 0.002788 -0.148596 -0.001122 0.988893
1770176350.965756 0.009219 -0.000014 0.004162 0.003250 -0.147884 -0.001196 0.988999
1770176351.069945 0.009432 -0.000701 0.005181 -0.000214 -0.150340 -0.001403 0.988633
1770176351.164009 0.009551 0.001388 0.005342 0.002153 -0.149019 -0.002304 0.988829
1770176351.277604 0.009548 -0.002111 0.003805 0.003052 -0.149039 -0.002055 0.988825
1770176351.368793 0.009795 -0.001651 0.003746 0.003584 -0.149304 -0.001898 0.988783
1770176351.458178 0.008915 -0.000878 0.004590 0.001783 -0.149088 -0.001166 0.988822
1770176351.565338 0.007462 -0.003307 0.005636 0.003451 -0.148964 -0.002655 0.988833
1770176351.659782 0.007344 -0.002614 0.004251 0.004106 -0.149159 -0.001885 0.988803
1770176351.762120 0.007650 0.002989 0.003445 0.002481 -0.149157 -0.002297 0.988808
1770176351.857375 0.008815 0.003511 0.004300 0.002045 -0.149711 -0.004024 0.988720
1770176351.959508 0.009823 0.004008 0.004102 0.004270 -0.149761 -0.004114 0.988704
1770176352.073552 0.010106 0.001148 0.003998 0.003772 -0.148342 -0.003699 0.988922
1770176352.159558 0.011062 0.000254 0.004792 0.002076 -0.148817 -0.001317 0.988862
1770176352.272777 0.011511 -0.000981 0.004876 0.003686 -0.149131 -0.001257 0.988810
1770176352.352010 0.009637 -0.006047 0.003075 0.002796 -0.149270 -0.001668 0.988791
1770176352.468682 0.008456 -0.005208 0.003734 0.002339 -0.149729 -0.001870 0.988722
1770176352.572968 0.006602 -0.004519 0.005195 0.001937 -0.150668 -0.002822 0.988579
1770176352.654410 0.005704 -0.004413 0.006738 0.003513 -0.149397 -0.003298 0.988766
1770176352.765527 0.003925 -0.005920 0.003490 0.004070 -0.148927 -0.002412 0.988837
1770176352.864648 0.004502 -0.003645 0.003016 0.001891 -0.147947 -0.001955 0.988992
1770176352.958605 0.005317 -0.002236 0.004238 0.001828 -0.150033 -0.003329 0.988674
1770176353.066806 0.005967 0.000555 0.003881 0.002815 -0.150175 -0.002461 0.988652
1770176353.164498 0.006112 0.000280 0.003295 0.004059 -0.148679 -0.004284 0.988868
1770176353.265750 0.005487 0.001524 0.002921 0.001738 -0.149409 -0.001334 0.988773
1770176353.374320 0.007140 0.001087 0.003925 0.000036 -0.149661 -0.002498 0.988734
1770176353.466788 0.008567 0.000325 0.006019 0.002471 -0.148530 -0.002317 0.988902
1770176353.554553 0.009692 -0.001261 0.006362 0.003389 -0.150057 -0.001410 0.988671
1770176353.676645 0.010436 -0.001404 0.005730 0.001605 -0.149245 -0.002018 0.988797
1770176353.764586 0.011523 0.000440 0.005335 0.002764 -0.149173 -0.004310 0.988798
1770176353.871096 0.008196 -0.001603 0.001737 0.002340 -0.149556 -0.005160 0.988737
1770176353.971266 0.005563 -0.003232 0.002430 0.002733 -0.147173 -0.002878 0.989103
1770176354.070668 0.006891 -0.001159 0.003124 0.000761 -0.149413 -0.002553 0.988771
1770176354.182641 0.008603 -0.001247 0.002899 0.002230 -0.148307 -0.002158 0.988936
1770176361.556452 0.008312 0.001570 0.004903 0.002751 -0.148807 -0.002099 0.988860
